name,uniscoreavg
Kocaeli University,15.4
Kochi University,19.485714285714288
Kochi University of Technology,18.483333333333334
Kogakuin University,15.258333333333333
Konkuk University,27.7625
Kookmin University,15.84
Kore University of Enna,36.6
Korea Advanced Institute of Science and Technology (KAIST),60.96923076923077
Korea University,45.9875
Koç University,36.19375
Kumamoto University,20.775
Kunming University of Science and Technology,17.049999999999997
Kurdistan University of Medical Sciences,45.916666666666664
Kurume University,30.1875
Kuwait University,25.114285714285717
Kwame Nkrumah University of Science and Technology,25.9
Kwansei Gakuin University,14.992857142857144
Kyoto Institute of Technology,16.283333333333335
Kyoto Prefectural University of Medicine,26.15
Kyoto Sangyo University,16.150000000000002
Kyoto University,65.46923076923078
Kyung Hee University,39.18125
Kyungpook National University,23.89375
Kyushu Institute of Technology (Kyutech),15.774999999999999
Kyushu University,35.2375
L.N. Gumilyov Eurasian National University,17.240000000000002
LMU Munich,73.6076923076923
La Trobe University,41.05
Ladoke Akintola University of Technology,14.350000000000001
Lagos State University,38.05
Lahore College for Women University (LCWU),21.35
Lahore University of Management Sciences,29.7375
Lakehead University,31.6
Lancaster University,55.4076923076923
Lappeenranta-Lahti University of Technology LUT,34.5875
Latvia University of Life Sciences and Technologies,16.2125
Lebanese American University,30.54
Lebanese University,23.149999999999995
Leeds Beckett University,26.535714285714285
Lehigh University,29.95625
Leibniz University Hannover,35.51875
Leiden University,63.49230769230769
Leuphana University of Lüneburg,45.95
Lille 1 University – Science and Technology,0.0
Lille 2 University – Health and Law,0.0
Lincoln University,36.614285714285714
Linköping University,38.41875
Lithuanian University of Health Sciences,33.400000000000006
Liverpool John Moores University,33.28125
Lobachevsky State University of Nizhni Novgorod,16.87142857142857
Lodz University of Technology,15.258333333333333
Lomonosov Moscow State University,53.18888888888889
London Metropolitan University,23.05
London School of Economics and Political Science,75.4076923076923
London South Bank University,20.92142857142857
Londrina State University,15.992857142857144
Lorestan University,23.149999999999995
Loughborough University,38.00625
Louisiana State University,31.16875
Louisiana Tech University,27.5
Lovely Professional University,28.3
Lucian Blaga University of Sibiu,15.4
"Lumière University, Lyon 2",24.2875
Lund University,59.138461538461534
Lusophone University of Humanities and Technologies,27.049999999999997
Lviv Polytechnic National University,24.985714285714288
MIREA - Russian Technological University,15.84
Maastricht University,56.73333333333333
Macau University of Science and Technology,49.9125
Mackenzie Presbyterian University,15.4
Macquarie University,44.987500000000004
Mae Fah Luang University,32.95
Maharaja Sayajirao University of Baroda,15.1
Maharishi Markandeshwar University (MMU),36.6
Mahasarakham University,15.84
Mahatma Gandhi University,37.233333333333334
Mahidol University,28.04375
Majmaah University,36.6
Makerere University,30.99375
Manchester Metropolitan University,26.91875
Manipal Academy of Higher Education,18.678571428571427
Manisa Celal Bayar University,14.350000000000001
Mansoura University,31.407142857142855
Mapúa University,14.350000000000001
Marche Polytechnic University,31.70625
Maria Curie-Skłodowska University (UMCS),15.4
Marmara University,16.87142857142857
Marquette University,28.325
Masaryk University,26.49375
Mashhad University of Medical Sciences,35.260000000000005
Massachusetts Institute of Technology,93.44615384615385
Massey University,31.19375
Matej Bel University,15.4
Maynooth University,36.2
Mazandaran University of Medical Sciences,45.5
McGill University,73.0
McMaster University,61.223076923076924
Medical College of Wisconsin,0.0
Medical University of Bialystok,25.9
Medical University of Gdańsk,31.85
Medical University of Graz,51.666666666666664
Medical University of Innsbruck,51.4375
Medical University of Lodz,36.6
Medical University of Silesia in Katowice,14.350000000000001
