year,ticker,company_name,num_committees,over75_pct,num_meetings
2023,UNH,UnitedHealth Group,11.0,1.0,9.0
2023,UHS,Universal Health Services,7.0,1.0,7.0
2023,VLO,Valero Energy,10.0,1.0,11.0
2023,VTR,Ventas,9.0,1.0,11.0
2023,VLTO,Veralto,3.0,,
2023,VRSN,Verisign,5.0,1.0,8.0
2023,VRSK,Verisk,7.0,1.0,10.0
2023,VZ,Verizon,8.0,1.0,12.0
2023,VRTX,Vertex Pharmaceuticals,8.0,1.0,9.0
2023,VFC,VF Corporation,11.0,1.0,10.0
2023,VTRS,Viatris,10.0,1.0,11.0
2023,VICI,Vici Properties,4.0,1.0,7.0
2023,V,Visa Inc.,4.0,1.0,10.0
2023,VMC,Vulcan Materials Company,9.0,1.0,12.0
2023,WRB,Berkley,7.0,1.0,9.0
2023,WAB,Wabtec,5.0,1.0,9.0
2023,WBA,Walgreens Boots Alliance,8.0,1.0,10.0
2023,WMT,Walmart,11.0,1.0,11.0
2023,DIS,Walt Disney,7.0,1.0,11.0
2023,WBD,Warner Bros. Discovery,5.0,1.0,13.0
2023,WM,Waste Management,13.0,1.0,9.0
2023,WAT,Waters Corporation,7.0,1.0,9.0
2023,WEC,WEC Energy Group,8.0,1.0,12.0
2023,WFC,Wells Fargo,13.0,1.0,13.0
2023,WELL,Welltower,9.0,1.0,10.0
2023,WST,West Pharmaceutical Services,5.0,1.0,11.0
2023,WDC,Western Digital,7.0,1.0,9.0
2023,WRK,WestRock,5.0,1.0,12.0
2023,WY,Weyerhaeuser,8.0,1.0,9.0
2023,WHR,Whirlpool Corporation,4.0,1.0,12.0
2023,WMB,Williams Companies,9.0,1.0,12.0
2023,WTW,Willis Towers Watson,8.0,1.0,10.0
2023,GWW,W. W. Grainger,3.0,1.0,11.0
2023,WYNN,Wynn Resorts,3.0,1.0,8.0
2023,XEL,Xcel Energy,7.0,1.0,12.0
2023,XYL,Xylem Inc.,8.0,1.0,10.0
2023,YUM,Yum! Brands,6.0,1.0,10.0
2023,ZBRA,Zebra Technologies,6.0,1.0,10.0
2023,ZBH,Zimmer Biomet,8.0,1.0,10.0
2023,ZION,Zions Bancorporation,8.0,1.0,11.0
2023,ZTS,Zoetis,6.0,1.0,12.0
