ticker,spindex,num_committees,dirs,over75_pct,num_meetings,avg_meetings
PFG,S&P 500,9.0,31.0,1.0,12.0,1.3333333333333333
PRA,S&P 600,5.0,27.0,1.0,12.0,2.4
PG,S&P 500,12.0,41.0,1.0,14.0,1.1666666666666667
PRVA,S&P 600,4.0,11.0,1.0,9.0,2.25
PRG,S&P 600,7.0,23.0,1.0,9.0,1.2857142857142858
PRGS,S&P 600,6.0,17.0,1.0,9.0,1.5
PGR,S&P 500,8.0,28.0,1.0,12.0,1.5
PGNY,S&P 400,3.0,9.0,1.0,10.0,3.3333333333333335
PLD,S&P 500,7.0,25.0,1.0,11.0,1.5714285714285714
PUMP,S&P 600,4.0,17.0,1.0,9.0,2.25
PB,S&P 400,6.0,14.0,1.0,14.0,2.3333333333333335
PRLB,S&P 600,4.0,13.0,1.0,8.0,2.0
PFS,S&P 600,10.0,27.0,1.0,11.0,1.1
PRU,S&P 500,9.0,32.0,1.0,9.0,1.0
PEG,S&P 500,10.0,27.0,1.0,10.0,1.0
PSA,S&P 500,6.0,18.0,1.0,13.0,2.1666666666666665
PHM,S&P 500,8.0,32.0,1.0,10.0,1.25
KWR,S&P 600,6.0,20.0,1.0,10.0,1.6666666666666667
QRVO,S&P 500,4.0,12.0,1.0,9.0,2.25
QCOM,S&P 500,9.0,38.0,1.0,12.0,1.3333333333333333
QLYS,S&P 400,6.0,14.0,1.0,6.0,1.0
NX,S&P 600,4.0,16.0,1.0,9.0,2.25
PWR,S&P 500,9.0,22.0,1.0,10.0,1.1111111111111112
DGX,S&P 500,9.0,26.0,1.0,10.0,1.1111111111111112
QNST,S&P 600,4.0,14.0,1.0,9.0,2.25
RLI,S&P 400,7.0,26.0,1.0,11.0,1.5714285714285714
RES,S&P 600,9.0,27.0,1.0,10.0,1.1111111111111112
RH,S&P 400,3.0,9.0,1.0,9.0,3.0
RPM,S&P 400,5.0,29.0,1.0,11.0,2.2
RXO,S&P 600,3.0,7.0,0.0,9.0,3.0
RDN,S&P 600,14.0,24.0,1.0,11.0,0.7857142857142857
RDNT,S&P 600,4.0,7.0,1.0,6.0,1.5
RMBS,S&P 400,9.0,23.0,1.0,7.0,0.7777777777777778
RL,S&P 500,8.0,24.0,0.0,13.0,1.625
,S&P 600,776.0,17673.0,1.0,53.0,0.06829896907216494
RRC,S&P 400,7.0,24.0,1.0,7.0,1.0
RJF,S&P 500,12.0,25.0,1.0,10.0,0.8333333333333334
RYN,S&P 400,5.0,30.0,1.0,10.0,2.0
RYAM,S&P 600,5.0,17.0,0.0,9.0,1.8
RTX,S&P 500,12.0,43.0,1.0,13.0,1.0833333333333333
RBC,S&P 400,4.0,11.0,1.0,8.0,2.0
RMAX,S&P 600,4.0,20.0,1.0,11.0,2.75
RC,S&P 600,3.0,10.0,1.0,12.0,4.0
HOUS,S&P 600,6.0,17.0,1.0,12.0,2.0
O,S&P 500,7.0,20.0,1.0,11.0,1.5714285714285714
RWT,S&P 600,3.0,16.0,1.0,9.0,3.0
RRX,S&P 400,8.0,26.0,1.0,10.0,1.25
REG,S&P 500,8.0,32.0,1.0,11.0,1.375
REGN,S&P 500,5.0,20.0,1.0,12.0,2.4
RGNX,S&P 600,3.0,12.0,1.0,9.0,3.0
RF,S&P 500,7.0,45.0,1.0,13.0,1.8571428571428572
RGA,S&P 400,8.0,28.0,1.0,11.0,1.375
RS,S&P 400,4.0,19.0,1.0,9.0,2.25
RNST,S&P 600,7.0,27.0,1.0,13.0,1.8571428571428572
RGEN,S&P 400,6.0,18.0,1.0,8.0,1.3333333333333333
UPBD,S&P 600,6.0,22.0,1.0,7.0,1.1666666666666667
RSG,S&P 500,10.0,27.0,1.0,11.0,1.1
RMD,S&P 500,8.0,15.0,1.0,10.0,1.25
REZI,S&P 600,7.0,10.0,1.0,10.0,1.4285714285714286
RGP,S&P 600,12.0,41.0,0.0,10.0,0.8333333333333334
ROIC,S&P 600,3.0,12.0,1.0,9.0,3.0
REX,S&P 600,5.0,17.0,1.0,9.0,1.8
REXR,S&P 400,3.0,9.0,1.0,8.0,2.6666666666666665
RHI,S&P 500,7.0,32.0,1.0,8.0,1.1428571428571428
ROK,S&P 500,11.0,29.0,1.0,11.0,1.0
ROG,S&P 600,7.0,23.0,1.0,9.0,1.2857142857142858
ROL,S&P 500,7.0,16.0,1.0,11.0,1.5714285714285714
RCM,S&P 400,5.0,15.0,1.0,16.0,3.2
ROP,S&P 500,5.0,19.0,1.0,9.0,1.8
ROST,S&P 500,4.0,15.0,1.0,11.0,2.75
