ticker,spindex
PRI,S&P 400
PFG,S&P 500
PRA,S&P 600
PG,S&P 500
PRVA,S&P 600
PRG,S&P 600
PRGS,S&P 600
PGR,S&P 500
PGNY,S&P 400
PLD,S&P 500
PUMP,S&P 600
PB,S&P 400
PRLB,S&P 600
PFS,S&P 600
PRU,S&P 500
PEG,S&P 500
PSA,S&P 500
PHM,S&P 500
KWR,S&P 600
QRVO,S&P 500
QCOM,S&P 500
QLYS,S&P 400
NX,S&P 600
PWR,S&P 500
DGX,S&P 500
QNST,S&P 600
RLI,S&P 400
RES,S&P 600
RH,S&P 400
RPM,S&P 400
RXO,S&P 600
RDN,S&P 600
RDNT,S&P 600
RMBS,S&P 400
RL,S&P 500
,S&P 600
RRC,S&P 400
RJF,S&P 500
RYN,S&P 400
RYAM,S&P 600
RTX,S&P 500
RBC,S&P 400
RMAX,S&P 600
RC,S&P 600
HOUS,S&P 600
O,S&P 500
RWT,S&P 600
RRX,S&P 400
REG,S&P 500
REGN,S&P 500
RGNX,S&P 600
RF,S&P 500
RGA,S&P 400
RS,S&P 400
RNST,S&P 600
RGEN,S&P 400
UPBD,S&P 600
RSG,S&P 500
RMD,S&P 500
REZI,S&P 600
RGP,S&P 600
ROIC,S&P 600
REX,S&P 600
REXR,S&P 400
RHI,S&P 500
ROK,S&P 500
ROG,S&P 600
ROL,S&P 500
RCM,S&P 400
ROP,S&P 500
ROST,S&P 500
RGLD,S&P 400
RUTH,S&P 600
SHAK,S&P 600
R,S&P 400
STBA,S&P 600
SPGI,S&P 500
SBAC,S&P 500
SEIC,S&P 400
SJW,S&P 600
SLG,S&P 600
SLM,S&P 400
SM,S&P 600
SPSC,S&P 600
SPXC,S&P 600
SBRA,S&P 400
SABR,S&P 600
SAFE,S&P 600
SAFT,S&P 600
SAIA,S&P 400
JOE,S&P 600
CRM,S&P 500
SBH,S&P 600
JBSS,S&P 600
SANM,S&P 600
BFS,S&P 600
SCSC,S&P 600
HSIC,S&P 500
SLB,S&P 500
SCHL,S&P 600
SDGR,S&P 600
SCHW,S&P 500
MATV,S&P 600
SAIC,S&P 400
LNW,S&P 400
SMG,S&P 400
SSP,S&P 600
SBCF,S&P 600
SEE,S&P 600
SENEA,
SEM,S&P 600
SIGI,S&P 400
SMTC,S&P 600
SRE,S&P 500
SXT,S&P 600
SCI,S&P 400
SVC,S&P 600
NOW,S&P 500
SFBS,S&P 600
SHEN,S&P 600
SHW,S&P 500
SCVL,S&P 600
SWAV,S&P 400
SSTK,S&P 600
SLAB,S&P 400
SLGN,S&P 400
SFNC,S&P 600
SPG,S&P 500
SMPL,S&P 600
SSD,S&P 400
SLP,S&P 600
SITC,S&P 600
SITM,S&P 600
SIX,S&P 600
SKX,S&P 400
SKYW,S&P 600
SWKS,S&P 500
SNBR,S&P 600
AOS,S&P 500
SJM,S&P 500
SNA,S&P 500
SEDG,S&P 600
SAH,S&P 600
SON,S&P 400
SONO,S&P 600
SHC,S&P 400
SSB,S&P 400
SO,S&P 500
SBSI,S&P 600
LUV,S&P 500
SWX,S&P 400
SWN,S&P 400
SPTN,S&P 600
SR,S&P 400
SRC,S&P 400
SFM,S&P 400
STAA,S&P 600
STAG,S&P 400
SMP,S&P 600
SXI,S&P 600
SWK,S&P 500
SBUX,S&P 500
STWD,S&P 400
STT,S&P 500
STLD,S&P 500
SCL,S&P 600
SRCL,S&P 400
STEL,S&P 600
STC,S&P 600
SF,S&P 400
SNEX,S&P 600
STRA,S&P 600
LRN,S&P 600
SYK,S&P 500
RGR,S&P 600
INN,S&P 600
SNCY,S&P 600
RUN,S&P 400
SXC,S&P 600
SPWR,S&P 600
SHO,S&P 600
SMCI,S&P 400
SUPN,S&P 600
SRDX,S&P 600
SLVM,S&P 600
SYNA,S&P 400
SNPS,S&P 500
SNV,S&P 400
SNX,S&P 400
SYF,S&P 500
SYY,S&P 500
TJX,S&P 500
TKO,S&P 400
TMUS,S&P 500
TPH,S&P 600
TTMI,S&P 600
TTWO,S&P 500
TALO,S&P 600
TNDM,S&P 600
SKT,S&P 600
TPR,S&P 500
TGT,S&P 500
TRGP,S&P 500
TMHC,S&P 400
TTGT,S&P 600
TGNA,S&P 400
TDY,S&P 500
TFX,S&P 500
TDS,S&P 600
TPX,S&P 400
THC,S&P 400
TNC,S&P 600
TDC,S&P 400
TER,S&P 500
TEX,S&P 400
TSLA,S&P 500
TTEK,S&P 400
TCBI,S&P 400
TXN,S&P 500
TXRH,S&P 400
TXT,S&P 500
ODP,S&P 600
TMO,S&P 500
THO,S&P 400
DDD,S&P 600
MMM,S&P 500
THRY,S&P 600
TKR,S&P 400
TMST,S&P 600
TWI,S&P 600
TOL,S&P 400
TMP,S&P 600
TR,S&P 600
BLD,S&P 400
TRMB,S&P 500
TTC,S&P 400
TNL,S&P 400
TSCO,S&P 500
TDG,S&P 500
TRV,S&P 500
TG,S&P 600
THS,S&P 600
TREX,S&P 400
TRN,S&P 600
TFIN,S&P 600
TGI,S&P 600
TRIP,S&P 600
TBI,S&P 600
TRUP,S&P 600
TFC,S&P 500
TRST,S&P 600
TRMK,S&P 600
TTEC,S&P 600
TWO,S&P 600
TYL,S&P 500
TSN,S&P 500
UDR,S&P 500
UFPT,S&P 600
UGI,S&P 400
UMBF,S&P 400
UFPI,S&P 400
USB,S&P 500
USNA,S&P 600
