ticker,company_name,num_committees,dirs,over75_pct,num_meetings,avg_meetings
MTD,Mettler Toledo,4.0,20.0,1.0,8.0,2.0
MGM,MGM Resorts,12.0,35.0,1.0,11.0,0.9166666666666666
MCHP,Microchip Technology,4.0,8.0,1.0,7.0,1.75
MU,Micron Technology,7.0,22.0,1.0,8.0,1.1428571428571428
MSFT,Microsoft,7.0,27.0,1.0,12.0,1.7142857142857142
MAA,Mid-America Apartment Communities,13.0,40.0,1.0,13.0,1.0
MRNA,Moderna,7.0,28.0,1.0,9.0,1.2857142857142858
MHK,Mohawk Industries,3.0,13.0,1.0,8.0,2.6666666666666665
MOH,Molina Healthcare,10.0,18.0,1.0,9.0,0.9
TAP,Molson Coors Beverage Company,6.0,30.0,1.0,14.0,2.3333333333333335
MDLZ,Mondelez International,10.0,35.0,1.0,9.0,0.9
MPWR,Monolithic Power Systems,4.0,11.0,1.0,8.0,2.0
MNST,Monster Beverage,5.0,10.0,1.0,10.0,2.0
MCO,Moody's Corporation,9.0,22.0,1.0,10.0,1.1111111111111112
MS,Morgan Stanley,9.0,42.0,1.0,14.0,1.5555555555555556
MOS,Mosaic Company (The),8.0,28.0,1.0,11.0,1.375
MSI,Motorola Solutions,11.0,55.0,1.0,8.0,0.7272727272727273
MSCI,MSCI,8.0,23.0,1.0,12.0,1.5
NDAQ,"Nasdaq, Inc.",11.0,52.0,1.0,11.0,1.0
NTAP,NetApp,8.0,25.0,1.0,9.0,1.125
NFLX,Netflix,5.0,17.0,1.0,12.0,2.4
NEM,Newmont,12.0,48.0,1.0,12.0,1.0
NWSA,News Corp (Class A),3.0,9.0,1.0,7.0,2.3333333333333335
NWS,News Corp (Class B),3.0,9.0,,,
NEE,NextEra Energy,7.0,35.0,1.0,12.0,1.7142857142857142
NKE,"Nike, Inc.",9.0,32.0,1.0,13.0,1.4444444444444444
NI,NiSource,14.0,34.0,1.0,12.0,0.8571428571428571
NDSN,Nordson Corporation,7.0,27.0,1.0,9.0,1.2857142857142858
NSC,Norfolk Southern Railway,11.0,36.0,1.0,13.0,1.1818181818181819
NTRS,Northern Trust,9.0,31.0,1.0,12.0,1.3333333333333333
NOC,Northrop Grumman,10.0,32.0,0.0,13.0,1.3
NCLH,Norwegian Cruise Line Holdings,4.0,18.0,1.0,8.0,2.0
NRG,NRG Energy,12.0,36.0,1.0,10.0,0.8333333333333334
NUE,Nucor,3.0,22.0,1.0,8.0,2.6666666666666665
NVDA,Nvidia,3.0,16.0,1.0,13.0,4.333333333333333
NVR,"NVR, Inc.",8.0,21.0,1.0,10.0,1.25
NXPI,NXP Semiconductors,6.0,18.0,1.0,10.0,1.6666666666666667
ORLY,O'Reilly Auto Parts,4.0,10.0,0.0,10.0,2.5
OXY,Occidental Petroleum,16.0,30.0,1.0,10.0,0.625
ODFL,Old Dominion,7.0,18.0,1.0,11.0,1.5714285714285714
OMC,Omnicom Group,7.0,23.0,1.0,10.0,1.4285714285714286
ON,ON Semiconductor,10.0,27.0,1.0,9.0,0.9
OKE,ONEOK,5.0,27.0,1.0,10.0,2.0
ORCL,Oracle Corporation,8.0,18.0,1.0,15.0,1.875
OTIS,Otis Worldwide,3.0,10.0,1.0,10.0,3.3333333333333335
PCAR,Paccar,5.0,25.0,1.0,12.0,2.4
PKG,Packaging Corporation of America,5.0,15.0,1.0,10.0,2.0
PANW,Palo Alto Networks,7.0,18.0,1.0,10.0,1.4285714285714286
PARA,Paramount Global,3.0,25.0,1.0,11.0,3.6666666666666665
PH,Parker Hannifin,7.0,25.0,1.0,13.0,1.8571428571428572
PAYX,Paychex,8.0,18.0,1.0,12.0,1.5
PAYC,Paycom,3.0,11.0,1.0,8.0,2.6666666666666665
PYPL,PayPal,4.0,11.0,1.0,12.0,3.0
PNR,Pentair,7.0,29.0,1.0,9.0,1.2857142857142858
PEP,PepsiCo,6.0,32.0,1.0,15.0,2.5
PFE,Pfizer,8.0,39.0,1.0,12.0,1.5
PCG,PG&E Corporation,14.0,54.0,1.0,14.0,1.0
PM,Philip Morris International,7.0,24.0,1.0,12.0,1.7142857142857142
PSX,Phillips 66,6.0,18.0,1.0,13.0,2.1666666666666665
PNW,Pinnacle West,7.0,26.0,1.0,11.0,1.5714285714285714
PXD,Pioneer Natural Resources,7.0,29.0,1.0,12.0,1.7142857142857142
PNC,PNC Financial Services,13.0,43.0,1.0,13.0,1.0
POOL,Pool Corporation,6.0,13.0,1.0,9.0,1.5
PPG,PPG Industries,8.0,24.0,1.0,12.0,1.5
PPL,PPL Corporation,18.0,47.0,1.0,10.0,0.5555555555555556
PFG,Principal Financial Group,9.0,31.0,1.0,12.0,1.3333333333333333
PG,Procter & Gamble,19.0,57.0,1.0,14.0,0.7368421052631579
PGR,Progressive Corporation,8.0,28.0,1.0,12.0,1.5
PLD,Prologis,7.0,25.0,1.0,11.0,1.5714285714285714
PRU,Prudential Financial,9.0,32.0,1.0,9.0,1.0
PEG,Public Service Enterprise Group,10.0,27.0,1.0,10.0,1.0
PTC,PTC,12.0,19.0,1.0,9.0,0.75
PSA,Public Storage,6.0,18.0,1.0,13.0,2.1666666666666665
PHM,PulteGroup,8.0,32.0,1.0,10.0,1.25
QRVO,Qorvo,4.0,12.0,1.0,9.0,2.25
PWR,Quanta Services,9.0,22.0,1.0,10.0,1.1111111111111112
QCOM,Qualcomm,9.0,38.0,1.0,12.0,1.3333333333333333
DGX,Quest Diagnostics,9.0,26.0,1.0,10.0,1.1111111111111112
RL,Ralph Lauren Corporation,8.0,24.0,0.0,13.0,1.625
RJF,Raymond James,12.0,25.0,1.0,10.0,0.8333333333333334
RTX,RTX Corporation,12.0,42.0,1.0,13.0,1.0833333333333333
O,Realty Income,7.0,19.0,1.0,11.0,1.5714285714285714
REG,Regency Centers,8.0,32.0,1.0,11.0,1.375
REGN,Regeneron,5.0,20.0,1.0,12.0,2.4
RF,Regions Financial Corporation,7.0,44.0,1.0,13.0,1.8571428571428572
RSG,Republic Services,10.0,27.0,1.0,11.0,1.1
RMD,ResMed,8.0,15.0,1.0,10.0,1.25
RVTY,Revvity (Previously PerkinElmer),9.0,24.0,1.0,9.0,1.0
RHI,Robert Half,7.0,32.0,1.0,8.0,1.1428571428571428
ROK,Rockwell Automation,11.0,29.0,1.0,11.0,1.0
ROL,"Rollins, Inc.",7.0,16.0,1.0,11.0,1.5714285714285714
ROP,Roper Technologies,5.0,19.0,1.0,9.0,1.8
ROST,Ross Stores,4.0,15.0,1.0,11.0,2.75
RCL,Royal Caribbean Group,10.0,30.0,1.0,14.0,1.4
